Date,Forecast
2023-05-03,-0.3764579
2023-05-04,-0.37665853
2023-05-05,-0.37455738
2023-05-06,-0.3888834
2023-05-07,-0.38517588
2023-05-08,-0.3770146
2023-05-09,-0.37761307
2023-05-10,-0.38904923
2023-05-11,-0.37222192
2023-05-12,-0.37594464
2023-05-13,-0.33316827
2023-05-14,-0.3408699
2023-05-15,-0.33209312
2023-05-16,-0.33537236
2023-05-17,-0.32917297
2023-05-18,-0.33776504
2023-05-19,-0.34115946
2023-05-20,-0.33684677
2023-05-21,-0.33354115
2023-05-22,-0.33909652
2023-05-23,-0.2641195
2023-05-24,-0.23986916
2023-05-25,-0.21120863
2023-05-26,-0.25349566
2023-05-27,-0.25517842
2023-05-28,-0.28003135
2023-05-29,-0.25230533
2023-05-30,-0.2761153
2023-05-31,-0.26100186
2023-06-01,-0.29068038
2023-06-02,-0.25481454
2023-06-03,-0.27478474
2023-06-04,-0.27157596
2023-06-05,-0.28635854
2023-06-06,-0.2887831
2023-06-07,-0.27662483
2023-06-08,-0.3035778
2023-06-09,-0.3019702
2023-06-10,-0.3143827
2023-06-11,-0.32486808
2023-06-12,-0.29658115
2023-06-13,-0.30109966
2023-06-14,-0.29677993
2023-06-15,-0.29012078
2023-06-16,-0.30225125
2023-06-17,-0.29456842
2023-06-18,-0.319847
2023-06-19,-0.29591995
2023-06-20,-0.29563466
2023-06-21,-0.29631537
2023-06-22,-0.33997667
2023-06-23,-0.33765566
2023-06-24,-0.33115864
2023-06-25,-0.34524956
2023-06-26,-0.3426985
2023-06-27,-0.33846933
2023-06-28,-0.33538345
2023-06-29,-0.34014282
2023-06-30,-0.3421294
2023-07-01,-0.33774662
2023-07-02,-0.30769333
2023-07-03,-0.32380944
2023-07-04,-0.31072128
2023-07-05,-0.31745946
2023-07-06,-0.3022754
2023-07-07,-0.30801067
2023-07-08,-0.3110934
2023-07-09,-0.31300527
2023-07-10,-0.30947557
2023-07-11,-0.3134769
2023-07-12,-0.34460977
2023-07-13,-0.33416554
2023-07-14,-0.33293524
2023-07-15,-0.3301922
2023-07-16,-0.33390248
2023-07-17,-0.33615816
2023-07-18,-0.32977527
2023-07-19,-0.34261486
2023-07-20,-0.33279255
2023-07-21,-0.33415103
2023-07-22,-0.3334199
2023-07-23,-0.32231492
2023-07-24,-0.3336407
2023-07-25,-0.32799587
2023-07-26,-0.33023667
2023-07-27,-0.32524037
2023-07-28,-0.33221188
2023-07-29,-0.32849875
2023-07-30,-0.32096958
2023-07-31,-0.3283309
2023-08-01,-0.39892986
2023-08-02,-0.4103521
2023-08-03,-0.39932373
2023-08-04,-0.40446022
2023-08-05,-0.40577993
2023-08-06,-0.40945375
2023-08-07,-0.395702
2023-08-08,-0.4059873
2023-08-09,-0.40526202
2023-08-10,-0.411676
2023-08-11,-0.37637424
2023-08-12,-0.3716243
2023-08-13,-0.38816
2023-08-14,-0.38695085
2023-08-15,-0.38034382
2023-08-16,-0.38431853
2023-08-17,-0.37512153
2023-08-18,-0.38380948
2023-08-19,-0.3810335
2023-08-20,-0.37569377
2023-08-21,-0.41551822
2023-08-22,-0.40152004
2023-08-23,-0.4225234
2023-08-24,-0.41294324
2023-08-25,-0.40831292
2023-08-26,-0.42528793
2023-08-27,-0.40300247
2023-08-28,-0.42013276
2023-08-29,-0.39579582
2023-08-30,-0.38682655
2023-08-31,-0.45229685
2023-09-01,-0.45473593
2023-09-02,-0.45670697
2023-09-03,-0.47231057
2023-09-04,-0.46906963
2023-09-05,-0.45385867
2023-09-06,-0.47385296
2023-09-07,-0.47703606
2023-09-08,-0.45437297
2023-09-09,-0.4634909
2023-09-10,-0.43773165
2023-09-11,-0.43289468
2023-09-12,-0.4243157
2023-09-13,-0.4361978
2023-09-14,-0.43089658
2023-09-15,-0.4416128
2023-09-16,-0.42935863
2023-09-17,-0.4262747
2023-09-18,-0.43338445
2023-09-19,-0.4308276
2023-09-20,-0.40152568
2023-09-21,-0.37786937
2023-09-22,-0.40052292
2023-09-23,-0.39543843
2023-09-24,-0.40489948
2023-09-25,-0.39077693
2023-09-26,-0.40279862
2023-09-27,-0.40665942
2023-09-28,-0.39843068
2023-09-29,-0.38560733
2023-09-30,-0.38369465
2023-10-01,-0.38257384
2023-10-02,-0.3728052
2023-10-03,-0.37769163
2023-10-04,-0.37952924
2023-10-05,-0.38528097
2023-10-06,-0.3765217
2023-10-07,-0.37104222
2023-10-08,-0.392221
2023-10-09,-0.39198935
2023-10-10,-0.38105178
2023-10-11,-0.3956797
2023-10-12,-0.40101445
2023-10-13,-0.39176652
2023-10-14,-0.39048058
2023-10-15,-0.39258584
2023-10-16,-0.40507928
2023-10-17,-0.39110142
2023-10-18,-0.39212626
2023-10-19,-0.4044755
2023-10-20,-0.40553975
2023-10-21,-0.4051183
2023-10-22,-0.4066106
2023-10-23,-0.4025972
2023-10-24,-0.38432178
2023-10-25,-0.39583787
2023-10-26,-0.40681148
2023-10-27,-0.39503878
2023-10-28,-0.3944686
2023-10-29,-0.40254956
2023-10-30,-0.39593488
2023-10-31,-0.39344212
2023-11-01,-0.39269173
2023-11-02,-0.40080905
2023-11-03,-0.4069106
2023-11-04,-0.41485777
2023-11-05,-0.4038714
2023-11-06,-0.39924893
2023-11-07,-0.40473044
2023-11-08,-0.39094174
2023-11-09,-0.35429546
2023-11-10,-0.35231125
2023-11-11,-0.35418496
2023-11-12,-0.3582539
2023-11-13,-0.3576302
2023-11-14,-0.35619324
2023-11-15,-0.35487187
2023-11-16,-0.35917628
2023-11-17,-0.34801084
2023-11-18,-0.35754612
2023-11-19,-0.3642891
2023-11-20,-0.34994423
2023-11-21,-0.35108075
2023-11-22,-0.3627325
2023-11-23,-0.35867143
2023-11-24,-0.36119786
2023-11-25,-0.35545537
2023-11-26,-0.3550062
2023-11-27,-0.35951617
2023-11-28,-0.35426152
2023-11-29,-0.3648802
2023-11-30,-0.36559537
