Date,Forecast
2023-05-03,-0.21769468
2023-05-04,-0.22324719
2023-05-05,-0.22326864
2023-05-06,-0.22509849
2023-05-07,-0.22759348
2023-05-08,-0.2236754
2023-05-09,-0.22546726
2023-05-10,-0.22580625
2023-05-11,-0.22948273
2023-05-12,-0.21792233
2023-05-13,-0.20680892
2023-05-14,-0.19116253
2023-05-15,-0.20144354
2023-05-16,-0.20056829
2023-05-17,-0.19371545
2023-05-18,-0.19469574
2023-05-19,-0.19192612
2023-05-20,-0.19754723
2023-05-21,-0.19382101
2023-05-22,-0.1935179
2023-05-23,-0.16111794
2023-05-24,-0.161835
2023-05-25,-0.15334529
2023-05-26,-0.1472584
2023-05-27,-0.16314593
2023-05-28,-0.17329313
2023-05-29,-0.1583526
2023-05-30,-0.16940367
2023-05-31,-0.15802236
2023-06-01,-0.1740647
2023-06-02,-0.13220516
2023-06-03,-0.1371974
2023-06-04,-0.15148215
2023-06-05,-0.14653061
2023-06-06,-0.18144865
2023-06-07,-0.1689592
2023-06-08,-0.1605793
2023-06-09,-0.17800047
2023-06-10,-0.1881221
2023-06-11,-0.19117574
2023-06-12,-0.19502103
2023-06-13,-0.19232203
2023-06-14,-0.19204578
2023-06-15,-0.19469559
2023-06-16,-0.18930489
2023-06-17,-0.1975537
2023-06-18,-0.19559395
2023-06-19,-0.19361365
2023-06-20,-0.18686579
2023-06-21,-0.19334894
2023-06-22,-0.22317868
2023-06-23,-0.21751554
2023-06-24,-0.2223419
2023-06-25,-0.22227599
2023-06-26,-0.22686234
2023-06-27,-0.2271313
2023-06-28,-0.2256195
2023-06-29,-0.22055617
2023-06-30,-0.2357145
2023-07-01,-0.22621249
2023-07-02,-0.21832734
2023-07-03,-0.21587227
2023-07-04,-0.2129447
2023-07-05,-0.21754877
2023-07-06,-0.22078829
2023-07-07,-0.21442121
2023-07-08,-0.21875232
2023-07-09,-0.21806832
2023-07-10,-0.20618914
2023-07-11,-0.21527807
2023-07-12,-0.21288913
2023-07-13,-0.21588746
2023-07-14,-0.21803433
2023-07-15,-0.21178159
2023-07-16,-0.21609162
2023-07-17,-0.2183171
2023-07-18,-0.21087958
2023-07-19,-0.21070823
2023-07-20,-0.21679376
2023-07-21,-0.21513456
2023-07-22,-0.19341394
2023-07-23,-0.195263
2023-07-24,-0.19473241
2023-07-25,-0.19554159
2023-07-26,-0.19741336
2023-07-27,-0.19286953
2023-07-28,-0.19801663
2023-07-29,-0.19946383
2023-07-30,-0.19363558
2023-07-31,-0.19856542
2023-08-01,-0.2556301
2023-08-02,-0.26193485
2023-08-03,-0.25918645
2023-08-04,-0.25165188
2023-08-05,-0.24508423
2023-08-06,-0.2435948
2023-08-07,-0.2575774
2023-08-08,-0.25695035
2023-08-09,-0.2563759
2023-08-10,-0.24891071
2023-08-11,-0.21272755
