Date,Forecast
2023-05-03,-0.2165524
2023-05-04,-0.21630694
2023-05-05,-0.21541779
2023-05-06,-0.21858425
2023-05-07,-0.2134501
2023-05-08,-0.21353939
2023-05-09,-0.20926146
2023-05-10,-0.21708363
2023-05-11,-0.21125156
2023-05-12,-0.2114779
2023-05-13,-0.19350407
2023-05-14,-0.18580975
2023-05-15,-0.19557421
2023-05-16,-0.1831344
2023-05-17,-0.18757902
2023-05-18,-0.18464455
2023-05-19,-0.18689951
2023-05-20,-0.19097845
2023-05-21,-0.19012116
2023-05-22,-0.1865086
2023-05-23,-0.15528534
2023-05-24,-0.14742465
2023-05-25,-0.1459168
2023-05-26,-0.14845322
2023-05-27,-0.15156598
2023-05-28,-0.16427073
2023-05-29,-0.16363075
2023-05-30,-0.16066428
2023-05-31,-0.15643696
2023-06-01,-0.16984397
2023-06-02,-0.12900963
2023-06-03,-0.14772373
2023-06-04,-0.15656269
2023-06-05,-0.14877774
2023-06-06,-0.15582508
2023-06-07,-0.15633285
2023-06-08,-0.16454345
2023-06-09,-0.16531831
2023-06-10,-0.17620838
2023-06-11,-0.1815075
2023-06-12,-0.1862972
2023-06-13,-0.18301044
2023-06-14,-0.18043803
2023-06-15,-0.18283021
2023-06-16,-0.17532116
2023-06-17,-0.18450697
2023-06-18,-0.18540199
2023-06-19,-0.18146788
2023-06-20,-0.1775502
2023-06-21,-0.18646999
2023-06-22,-0.20691885
2023-06-23,-0.2168362
2023-06-24,-0.20963484
2023-06-25,-0.21431805
2023-06-26,-0.2065252
2023-06-27,-0.2050206
2023-06-28,-0.21774039
2023-06-29,-0.2162351
2023-06-30,-0.21286982
2023-07-01,-0.2091326
2023-07-02,-0.19746704
2023-07-03,-0.19008876
2023-07-04,-0.20130432
2023-07-05,-0.1961356
2023-07-06,-0.1961856
2023-07-07,-0.19372445
2023-07-08,-0.19906968
2023-07-09,-0.19647393
2023-07-10,-0.1985218
2023-07-11,-0.19919075
2023-07-12,-0.20741558
2023-07-13,-0.2042486
2023-07-14,-0.20265633
2023-07-15,-0.19926186
2023-07-16,-0.2028209
2023-07-17,-0.20260781
2023-07-18,-0.20445101
2023-07-19,-0.20404027
2023-07-20,-0.20461097
2023-07-21,-0.20426022
2023-07-22,-0.18315907
2023-07-23,-0.18285398
2023-07-24,-0.1817265
2023-07-25,-0.18833452
2023-07-26,-0.19123764
2023-07-27,-0.1822347
2023-07-28,-0.18179914
2023-07-29,-0.18142217
2023-07-30,-0.18467507
2023-07-31,-0.18923607
2023-08-01,-0.22326945
2023-08-02,-0.23116545
2023-08-03,-0.22315517
2023-08-04,-0.22856487
2023-08-05,-0.22769968
2023-08-06,-0.22789612
2023-08-07,-0.22973014
2023-08-08,-0.23111723
2023-08-09,-0.22627257
2023-08-10,-0.23118265
2023-08-11,-0.20368679
2023-08-12,-0.2000911
2023-08-13,-0.19901861
2023-08-14,-0.20113069
2023-08-15,-0.19848795
2023-08-16,-0.19923706
2023-08-17,-0.19577955
2023-08-18,-0.20282194
2023-08-19,-0.19742943
2023-08-20,-0.20249201
2023-08-21,-0.23235445
2023-08-22,-0.21824545
2023-08-23,-0.2245866
2023-08-24,-0.22556421
2023-08-25,-0.22891599
2023-08-26,-0.22592634
2023-08-27,-0.22618218
2023-08-28,-0.2267493
2023-08-29,-0.21851449
2023-08-30,-0.2227307
2023-08-31,-0.2745112
2023-09-01,-0.2671024
2023-09-02,-0.27161616
2023-09-03,-0.25999966
2023-09-04,-0.2732292
2023-09-05,-0.26905212
2023-09-06,-0.26189572
2023-09-07,-0.26222032
2023-09-08,-0.26654956
2023-09-09,-0.26272288
2023-09-10,-0.25777763
2023-09-11,-0.2591316
2023-09-12,-0.24806501
2023-09-13,-0.24775398
2023-09-14,-0.24404117
2023-09-15,-0.2510139
2023-09-16,-0.256976
2023-09-17,-0.25113705
2023-09-18,-0.2533613
2023-09-19,-0.25235587
2023-09-20,-0.23510952
2023-09-21,-0.23158754
2023-09-22,-0.23450574
2023-09-23,-0.23565334
2023-09-24,-0.23009798
2023-09-25,-0.23474944
2023-09-26,-0.23547791
2023-09-27,-0.228944
2023-09-28,-0.2277806
2023-09-29,-0.22907442
2023-09-30,-0.21260391
2023-10-01,-0.21741737
2023-10-02,-0.19168884
2023-10-03,-0.2173594
2023-10-04,-0.2142465
2023-10-05,-0.21999672
2023-10-06,-0.21208987
2023-10-07,-0.21822873
