Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Real interest rate (%),FR.INR.RINR,Argentina,ARG,-5.485839182,-11.60069877,-1.314708785,-7.006039843,0.455892832,4.564409099,12.10396965,-7.635174216,-11.88381637,-10.07372869
Real interest rate (%),FR.INR.RINR,Brazil,BRA,18.49884442,22.40367244,33.83234397,40.69836145,41.71380787,33.10233425,31.90307275,21.19717969,16.72825116,28.7364912
Real interest rate (%),FR.INR.RINR,Belize,BLZ,9.474317624,9.654163423,10.26810719,7.579649228,6.241333927,9.010508065,9.209361688,9.335135352,7.943094459,1.079177613
Real interest rate (%),FR.INR.RINR,"Bahamas, The",BHS,4.931658323,1.053532087,-0.533451774,3.261660646,2.496626177,3.899809269,0.264794735,6.75346584,3.198864421,6.565865391
Real interest rate (%),FR.INR.RINR,Barbados,BRB,5.64600412,7.874456107,10.06247263,8.288858725,5.310085053,4.635941496,3.652432063,6.270400942,3.190870897,3.900869151
Real interest rate (%),FR.INR.RINR,Bolivia,BOL,4.770029141,7.491198547,13.3088029,9.434724955,1.931420923,4.833259518,9.155986266,9.62509692,3.906454492,2.511807569
Real interest rate (%),FR.INR.RINR,Dominican Republic,DOM,8.499705584,9.184329642,12.10554541,12.8346074,9.338161416,8.079225853,9.715764841,5.973957523,1.699015129,1.025970295
Real interest rate (%),FR.INR.RINR,Costa Rica,CRI,10.13299571,8.1879176,9.887063288,9.493883465,8.269830326,8.739207219,6.024715568,5.820520183,3.065307094,1.016618065
Real interest rate (%),FR.INR.RINR,Colombia,COL,8.90797441,8.442949352,8.785473732,9.032095057,8.134491128,7.15306949,7.467547259,8.248218417,1.551280099,1.285613664
Real interest rate (%),FR.INR.RINR,Chile,CHL,6.846326434,2.121025308,0.534100505,0.982913241,-0.262655301,2.547312161,..,..,..,..
Real interest rate (%),FR.INR.RINR,Guatemala,GTM,9.906354068,10.60955538,10.75584871,10.12049423,11.11202392,11.50541688,8.859152325,9.382975822,9.244983675,5.365090342
Real interest rate (%),FR.INR.RINR,Guyana,GUY,14.11241913,15.26002232,9.542339621,11.99409599,10.66604441,16.35987741,7.301759348,48.52033122,-11.06269565,-3.231598484
Real interest rate (%),FR.INR.RINR,Honduras,HND,18.45328242,12.88062187,12.83497683,15.09853656,14.10912758,15.55407811,12.68883956,11.8268994,11.71946197,5.003613416
Real interest rate (%),FR.INR.RINR,Jamaica,JAM,8.578676322,9.620375908,9.677050802,11.2974879,7.841678201,8.668017564,9.513194465,8.309335384,3.786210143,-1.234776194
Real interest rate (%),FR.INR.RINR,Nicaragua,NIC,10.19139592,4.746631711,4.149499327,6.547643927,6.392541674,8.025151154,6.700250378,5.504180706,5.856602905,0.286798573
Real interest rate (%),FR.INR.RINR,Panama,PAN,1.800083278,2.626838885,3.91908601,4.506464847,4.951297775,2.4371186,6.753458796,7.601182235,4.906399624,4.351510255
Real interest rate (%),FR.INR.RINR,Peru,PER,16.90330807,12.99478509,13.06382202,12.98525678,12.71220357,11.9886777,12.28326446,8.676165394,2.33101708,7.867630789
Real interest rate (%),FR.INR.RINR,Haiti,HTI,0.597120821,8.368648167,7.335487257,-2.135389706,-0.905881388,6.163884499,-4.740152624,-3.413247767,-4.718161778,..
Real interest rate (%),FR.INR.RINR,Suriname,SUR,11.55522213,10.53283896,7.404869688,-8.536317346,-10.70461998,8.175726537,9.303491481,-20.94895148,-28.5036675,-20.25211603
Real interest rate (%),FR.INR.RINR,Trinidad and Tobago,TTO,5.751114149,8.493875352,18.53485666,9.814308215,0.726667931,6.239076911,13.5799653,10.75466491,-9.787180408,-11.02924554
Real interest rate (%),FR.INR.RINR,Mexico,MEX,2.523945467,-0.782518916,0.207059197,-1.247597348,0.717765144,2.695226949,3.971312893,1.431052019,0.822539278,1.367357562
Real interest rate (%),FR.INR.RINR,Paraguay,PRY,14.31208516,17.81994433,17.84574245,13.38659908,14.50938861,13.49296264,12.05332607,11.08900009,3.745212562,..
Real interest rate (%),FR.INR.RINR,Uruguay,URY,3.151231219,4.820769321,5.448671586,7.400564673,7.715045456,4.56569083,2.925969925,1.158399562,-4.641634135,6.179581329
